"sr_recno";"c_codprod";"c_fil";"c_mesano";"c_saldo";"c_entradas";"c_saidas";"c_prcompra";"c_prcusto";"c_customed";"c_prvenda";"c_dataref"
1188332;"00001";"00";"022023";-800.000;0.000;800.000;0.030;0.049;0.041;0.000;2024-03-17
1158629;"00001";"00";"112022";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2024-03-17
1168530;"00001";"00";"122022";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2024-03-17
1198233;"00001";"00";"032023";22900.000;23000.000;100.000;0.030;0.049;0.041;0.000;2023-03-31
1208134;"00001";"00";"042023";-1360.000;0.000;1360.000;0.030;0.049;0.041;0.000;2023-04-30
1218035;"00001";"00";"052023";-10000.000;0.000;10000.000;0.030;0.049;0.041;0.000;2023-05-31
1227936;"00001";"00";"062023";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2023-06-30
1237837;"00001";"00";"072023";-3000.000;0.000;3000.000;0.030;0.049;0.041;0.000;2023-07-31
1247738;"00001";"00";"082023";3000.000;3000.000;0.000;0.030;0.049;0.041;0.000;2023-08-31
1257639;"00001";"00";"092023";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2023-09-30
1267540;"00001";"00";"102023";-7000.000;0.000;7000.000;0.030;0.049;0.041;0.000;2023-10-31
1277441;"00001";"00";"112023";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2023-11-30
1287342;"00001";"00";"122023";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2023-12-31
1178431;"00001";"00";"012023";0.000;0.000;0.000;0.030;0.049;0.041;0.000;2024-03-17
