"c_chave";"c_data";"c_codprod";"c_prcusto";"sr_recno"
"0000000980";2022-03-21;"00001";0.049;1081
"0000001060";2022-06-06;"00001";0.049;7822
"0000001091";2022-06-15;"00001";0.049;7854
"0000001180";2022-07-28;"00001";0.049;3241
"0000001179";2022-07-28;"00001";0.049;4577
"0000001185";2022-08-04;"00001";0.049;3463
"0000001392";2023-02-01;"00001";0.049;8044
"0000001394";2023-02-02;"00001";0.049;12126
"0000001397";2023-02-03;"00001";0.049;8208
"0000001398";2023-02-06;"00001";0.049;12567
"0000001438";2023-02-27;"00001";0.049;9098
"0000001439";2023-02-27;"00001";0.049;9233
"0000001440";2023-02-27;"00001";0.049;9350
"0000001441";2023-02-27;"00001";0.049;9463
"0000001460";2023-03-13;"00001";0.049;10054
"0000001458";2023-03-13;"00001";0.049;10132
"0000001465";2023-03-14;"00001";0.049;10159
"0000001466";2023-03-14;"00001";0.049;10160
"0000001467";2023-03-14;"00001";0.049;10161
"0000001468";2023-03-14;"00001";0.049;10162
"0000001470";2023-03-14;"00001";0.049;10194
"0000001469";2023-03-14;"00001";0.049;12321
"0000001501";2023-03-17;"00001";0.048;10553
"0000001504";2023-03-20;"00001";0.057;10570
"0000001509";2023-03-21;"00001";0.057;10855
"0000001542";2023-03-29;"00001";0.057;11068
"0000001544";2023-03-29;"00001";0.057;11071
"0000001557";2023-03-31;"00001";0.057;11162
"0000001582";2023-04-06;"00001";0.057;13289
"0000001590";2023-04-14;"00001";0.057;11887
"0000001653";2023-05-09;"00001";0.057;13215
"0000001699";2023-05-19;"00001";0.057;13697
"0000001700";2023-05-19;"00001";0.057;13710
"0000001701";2023-05-19;"00001";0.057;13723
"0000001696";2023-05-19;"00001";0.049;17863
"0000001702";2023-05-22;"00001";0.057;13736
"0000001728";2023-06-07;"00001";0.057;14457
"0000001730";2023-06-07;"00001";0.057;14473
"0000001859";2023-07-10;"00001";0.057;15724
"0000001863";2023-07-11;"00001";0.049;17759
"0000001867";2023-07-12;"00001";0.057;15864
"0000001878";2023-07-13;"00001";0.057;16068
"0000001904";2023-07-19;"00001";0.057;16365
"0000001936";2023-08-03;"00001";0.057;16735
"0000002018";2023-08-22;"00001";0.030;17217
"0000002083";2023-09-15;"00001";0.030;18095
"0000002150";2023-10-09;"00001";0.030;19046
"0000002188";2023-10-16;"00001";0.030;19098
"0000002190";2023-10-17;"00001";0.030;19126
"0000002194";2023-10-17;"00001";0.030;19208
"0000002192";2023-10-17;"00001";0.030;20988
"0000002281";2023-11-10;"00001";0.030;19799
"0000002313";2023-12-13;"00001";0.030;20276
"0000002410";2024-01-31;"00001";0.030;21677
"0000002415";2024-02-01;"00001";0.030;22118
"0000002423";2024-02-08;"00001";0.030;22489
"0000002428";2024-02-15;"00001";0.030;22582
"0000002429";2024-02-15;"00001";0.030;22593
"0000002456";2024-03-01;"00001";0.030;23192
"0000002460";2024-03-01;"00001";0.030;23448
